input_id	dealiased_id	standard_id	short_id
schittny2007development	schittny2007development	schittny2007development	lH035vP1
Schittny_2018	Schittny_2018	Schittny_2018	d06eKb2A
Burri_1974	Burri_1974	Burri_1974	rbNU53QA
Kauffman_1974	Kauffman_1974	Kauffman_1974	y8JYOeCT
Schittny_2017	Schittny_2017	Schittny_2017	blPQzDk0
Tschanz_2014	Tschanz_2014	Tschanz_2014	h0GHCdTq
Schittny_2008	Schittny_2008	Schittny_2008	18Gdq16QP
Haefeli_Bleuer_1988	Haefeli_Bleuer_1988	Haefeli_Bleuer_1988	1Hu5AyMuJ
Storey_1962	Storey_1962	Storey_1962	vLpu8cOl
Barr__2016	Barr__2016	Barr__2016	Djxe306U
Barr__2014	Barr__2014	Barr__2014	5DC4piYY
Fishler_2015	Fishler_2015	Fishler_2015	zhEN8b77
Hasler_2019	Hasler_2019	Hasler_2019	1GOAzq7iT
Hofemeier_2014	Hofemeier_2014	Hofemeier_2014	L87oEIHA
Semmler_Behnke_2012	Semmler_Behnke_2012	Semmler_Behnke_2012	161k9kpPS
Kreyling_2018	Kreyling_2018	Kreyling_2018	glIptWYi
Mercer1987	Mercer1987	Mercer1987	WtHXFe1N
Woodward_2005	Woodward_2005	Woodward_2005	A5dnMpAV
Rodriguez_1987	Rodriguez_1987	Rodriguez_1987	Dm4zGCuR
Vasilescu_2012a	Vasilescu_2012a	Vasilescu_2012a	PfwWmxYN
Kizhakke_Puliyakote_2016	Kizhakke_Puliyakote_2016	Kizhakke_Puliyakote_2016	PTJ4efHU
Haberth_r_2013	Haberth_r_2013	Haberth_r_2013	HbKGslZc
Flecknell2002	Flecknell2002	Flecknell2002	pDBsPoa
erhardt2012anasthesie	erhardt2012anasthesie	erhardt2012anasthesie	13BZpo71i
Marone2009	Marone2009	Marone2009	Vc2JA2LM
Marone_2011	Marone_2011	Marone_2011	16CG7iLx6
Haberthuer2010	Haberthuer2010	Haberthuer2010	k8kOLUQw
Hsia2010	Hsia2010	Hsia2010	7uWRVzLE
dicomreaderandsaverforstepanizerm	dicomreaderandsaverforstepanizerm	dicomreaderandsaverforstepanizerm	giOSdi72
TSCHANZ_2011	TSCHANZ_2011	TSCHANZ_2011	17uX89mw9
Haberthur2013	Haberthur2013	Haberthur2013	CuEqDmSN
Hyde2004	Hyde2004	Hyde2004	vmSRuxzV
Sterio1984	Sterio1984	Sterio1984	9X1My21I
Hsia_2010	Hsia_2010	Hsia_2010	h61KgZNX
Cruz-Orive1999	Cruz-Orive1999	Cruz-Orive1999	17XomD4vc
Kluyver:2016aa	Kluyver:2016aa	Kluyver:2016aa	7rFmguy5
haberthr	haberthr	haberthr	1Khp9ggx
Amrhein_2019	Amrhein_2019	Amrhein_2019	hzjH1mVK
SHAPIRO_1965	SHAPIRO_1965	SHAPIRO_1965	6FtVHoA6
Mann_1947	Mann_1947	Mann_1947	lhbt1jhe
Kruskal_1952	Kruskal_1952	Kruskal_1952	cCQCz7YZ
virtanen2019scipy	virtanen2019scipy	virtanen2019scipy	11cKAtqh8
_id_k_1967	_id_k_1967	_id_k_1967	1G0XtlW5H
Zeltner1990	Zeltner1990	Zeltner1990	GGDXr5q
Borisova2020	Borisova2020	Borisova2020	qkmuj0zU
Mandelbrot_1967	Mandelbrot_1967	Mandelbrot_1967	1BbHA59Kw
Sznitman_2010	Sznitman_2010	Sznitman_2010	MsnDfWVp
Henry_2012	Henry_2012	Henry_2012	187sR09I3
Tsuda_2008	Tsuda_2008	Tsuda_2008	vZ9WgZ7C
Osmanagic_2010	Osmanagic_2010	Osmanagic_2010	6Bm1AJD
Sznitman_2009	Sznitman_2009	Sznitman_2009	Ovw5D8Vr
Yang_2019	Yang_2019	Yang_2019	XNUymiwZ
Sznitman_2009a	Sznitman_2009a	Sznitman_2009a	BPPUoSy
Sznitman_2006	Sznitman_2006	Sznitman_2006	EpsKcYl5
